"country"	"date"	"survey"	"pc_households_with_at_least_one_ITN"	"pc_households_with_at_least_one_ITN_for_every_two_persons_who_stayed_in_the_household_the_previous_night"	"pc_households_with_IRS_in_the_past_12_months"	"pc_households_with_at_least_one_ITN_and_or_IRS_in_the_past_12_months"	"pc_households_with_at_least_one_ITN_for_every_two_persons_and_or_IRS_in_the_past_12_months"	"pc_population_with_access_to_an_ITN"	"pc_population_who_slept_under_an_ITN_last_night"	"pc_ITNs_that_were_used_last_night"	"pc_pregnant_women_who_slept_under_an_ITN"	"pc_pregnant_women_who_took_3_doses_of_IPTp"	"pc_children_under_5_who_slept_under_an_ITN_1"	"pc_children_under_5_with_moderate_or_severe_anaemia"	"pc_children_under_5_with_a_positive_RDT"	"pc_children_under_5_with_fever_with_a_positive_microscopy_blood_smear"	"pc_children_under_5_with_fever_for_whom_advice_or_treatment_was_sought"	"pc_children_under_5_with_fever_who_had_blood_taken_from_a_finger_or_heel_for_testing"	"pc_children_under_5_with_fever_who_took_antimalarial_drugs"	"pc_children_under_5_with_fever_who_took_an_ACT_among_those_who_received_any_antimalarial"	"region"
"Malawi"	2017	"MIS"	82.1	41.7	NA	NA	NA	63.1	55.4	76.8	62.5	41.1	67.5	37.1	36	24.3	54.4	37.6	29.4	96.4	"Africa"
"Mali"	2018	"DHS"	89.8	54.8	NA	NA	NA	75.2	72.9	88.7	83.7	28.3	79.1	56.7	18.9	NA	52.8	16.4	18.7	31	"Africa"
"Mauritania"	2021	"DHS"	32.2	8	NA	NA	NA	19.5	10.9	42	11.7	10.2	11.9	54.9	1.1	NA	31.4	5.8	15.3	19	"Africa"
"Mozambique"	2018	"MIS"	82.2	51.2	NA	NA	NA	68.5	68.4	85.4	76.4	40.6	72.7	55.2	38.9	NA	68.6	47.9	32.7	98.6	"Africa"
"Nigeria"	2018	"DHS"	60.6	29.8	NA	NA	NA	47.5	43.2	80.6	58	16.6	52.2	41.1	36.2	22.6	72.8	13.8	43.5	52	"Africa"
"Rwanda"	2017	"MIS"	84.1	55.1	19.6	89.2	66.9	71.9	63.9	71	68.5	NA	68	NA	11.8	7.2	55.6	38.1	19.6	98.7	"Africa"
"Rwanda"	2020	"DHS"	66.4	34.3	NA	NA	NA	50.8	47.7	78	56.1	NA	55.6	15.2	2.7	0.9	62.3	40.7	8.1	92.4	"Africa"
"Senegal"	2017	"DHS"	84.2	50.4	4.2	84.5	52.3	72.8	56.9	68.6	61.8	22	60.7	41.8	0.9	0.4	51.4	16.1	4.7	65.5	"Africa"
"Senegal"	2018	"DHS"	76.6	39	2.1	76.8	40.1	62.2	51.6	74.5	55.7	22.4	56.4	NA	NA	NA	52.8	13.8	5.1	24	"Africa"
"Senegal"	2019	"DHS"	81	56.8	2.4	81.5	57.7	74.2	62.5	68.2	68.1	19.6	65.4	NA	NA	NA	50	15.7	1.4	NA	"Africa"
"Senegal"	2021	"MIS"	75.3	33.8	3.3	76.3	36.1	57.8	46.4	81.4	52.5	37.7	46.5	67.3	NA	NA	63	21.7	2.7	1.7	"Africa"
"Sierra Leone"	2019	"DHS"	67.9	25	NA	NA	NA	46.8	50.6	89.5	63.8	35.7	59.1	37.9	NA	NA	75.4	61.3	55.9	31.9	"Africa"
"United Republic of Tanzania"	2017	"MIS"	77.9	45.4	NA	NA	NA	62.5	52.2	66.7	51.4	25.8	54.6	30.5	7.3	NA	75.4	43.1	36.2	89.4	"Africa"
"Togo"	2017	"MIS"	85.2	71.4	NA	NA	NA	82.3	62.5	52.3	69	41.7	69.7	47.8	43.9	28.3	55.9	29.3	31.1	76.3	"Africa"
"Uganda"	2019	"MIS"	83	53.9	10.1	84.2	58.7	71.5	59.2	74.3	65.4	41	60.3	25	18.2	9.8	87	50.7	62.5	87.7	"Africa"
"Zambia"	2018	"DHS"	78.3	40.9	35.3	83.3	60.4	59.9	46.4	64.2	48.9	58.7	51.6	29.5	NA	NA	77.2	63	34.9	96.9	"Africa"
"Jordan"	2018	"DHS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.6	NA	NA	68.4	NA	NA	NA	"EastMediterranean"
"Pakistan"	2018	"DHS"	3.6	0.6	5.1	8.4	5.7	2	0.2	11.6	0.4	NA	0.4	NA	NA	NA	81.4	NA	9.2	3.3	"EastMediterranean"
"Papua New Guinea"	2018	"DHS"	68.5	45.2	NA	NA	NA	57.9	46	67.9	49	23.5	51.5	NA	NA	NA	49.5	24.6	21.3	3.3	"Pacific"
"Philippines"	2017	"DHS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.5	NA	NA	NA	"Pacific"
"India"	2021	"DHS"	7.9	4	NA	NA	NA	5.8	3.8	58.5	4.2	NA	4.4	38.8	NA	NA	79.9	13.6	25.2	6	"SEAsia"
